time_hrs,z_m,theta_smooth_K,U_smooth_m_s,Ri_g,zeta_BD,zeta_G07,C_const_G07,C_coord_G07,fold_ratio,kappa_G07,is_jet_nose
0.000,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
0.000,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
14399.952,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
14399.952,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
28799.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
28799.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
43200.000,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
43200.000,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
57599.952,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
57599.952,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
71999.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
71999.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
86400.000,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
86400.000,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
100799.952,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
100799.952,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
115199.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
115199.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
129600.000,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
129600.000,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
143999.952,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
143999.952,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
158399.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
158399.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
172800.000,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
