height_m,Delta_SCM_m2,Delta_closure_m2,Delta_geom_m2,tau_dz_m2
10.0,-30.74504330996607,-0.3514963799951748,-30.429112173423256,0.03556524345236037
11.0,-23.5143535715351,-0.33398366268955093,-23.21394835012667,0.03357844128112265
12.0,-40.05070965912065,-0.3183167175829916,-39.76398458064754,0.031591639109884925
13.0,-62.00348336718465,-0.3087830583173205,-61.72430514580598,0.029604836938647208
14.0,-80.16149140113635,-0.30423237481258436,-79.88487706109117,0.027618034767409483
15.0,-91.10281222133065,-0.3039236972843258,-90.82451975664249,0.02563123259617176
16.0,-94.75464745822023,-0.30741445081643254,-94.47087743782873,0.023644430424934033
17.0,-92.6995374807227,-0.3144739553153467,-92.40672115366104,0.021657628253696316
18.0,-87.07424231792552,-0.32501746512100904,-86.76889567888698,0.01967082608245859
19.0,-79.92358750431148,-0.3390571340056493,-79.60221439421706,0.017684023911220877
20.0,-72.88756278875499,-0.3566665827472651,-72.54659342774771,0.01569722173998315
21.0,-67.11595001760142,-0.3779560379203688,-66.75170439924979,0.01371041956874543
22.0,-63.32074487220577,-0.40305530200231476,-62.929413187600964,0.011723617397507708
23.0,-61.89262551137241,-0.4321021063492559,-61.47026022024942,0.009736815226269985
24.0,-63.02370953919914,-0.46523369005150866,-62.566225862202664,0.007750013055032262
25.0,-66.79482908889631,-0.5025797391338469,-66.29801256064626,0.005763210883794538
26.0,-73.20154218321134,-0.5442551120219716,-72.66106347990193,0.0037764087125568184
27.0,-82.10908690215733,-0.5903510686521447,-81.52052544004651,0.0017896065413190946
28.0,-93.14247325880531,-0.640924012056706,-92.50135205111869,-0.000197195629918625
29.0,-105.57064429583416,-0.6959810427139264,-104.87247925531908,-0.0021839978011563487
30.0,-118.41725052810501,-0.7554619174063879,-117.65761781072622,-0.004170799972394073
31.0,-130.5660833219182,-0.8192172957878152,-129.74070842398675,-0.006157602143631795
32.0,-140.81927487567728,-0.8869834493140114,-139.9241470220484,-0.008144404314869515
33.0,-147.9950657585761,-0.9583538986492942,-147.02658065344067,-0.010131206486107236
34.0,-151.04355520267043,-1.0327487371155628,-149.99868845689753,-0.012118008657344961
35.0,-149.16488867692206,-1.1093826892068457,-148.04140117688664,-0.014104810828582684
36.0,-141.91665139703568,-1.1872332446479372,-140.71332653938794,-0.01609161299982041
37.0,-129.29955055014472,-1.2650104999314467,-128.01646163504222,-0.018078415171058123
38.0,-111.81278313863247,-1.341130630723325,-110.45158729056685,-0.020065217342295844
39.0,-90.47280047261496,-1.4136952099826718,-89.03705324311875,-0.022052019513533572
40.0,-66.79149446583862,-1.4804788780973461,-65.28697676605651,-0.02403882168477129
41.0,-42.71214501498553,-1.5389281627926703,-41.14719122833685,-0.02602562385600901
42.0,-20.503781867608975,-1.5861745380262002,-18.88959490355553,-0.028012426027246733
43.0,-2.616928509159013,-1.6190651025373295,-0.9678641784231985,-0.02999922819848446
44.0,8.493990275211083,-1.6342145501761731,10.160190855756978,-0.03198603036972218
45.0,10.57398138313059,-1.6280823955919554,12.236036611263504,-0.0339728325409599
46.0,1.8207439431060688,-1.5980989698914614,3.4252360922178138,-0.00639317922028368
47.0,-18.988301421275224,-1.5466672976498255,-17.46282059772579,0.02118647410039255
48.0,-52.28650936465735,-1.4796237213132535,-50.855651770765164,0.04876612742106877
49.0,-97.6582755252957,-1.4053647918080432,-96.32925651422941,0.07634578074174499
50.0,-153.77929962403255,-1.3346048487210138,-152.54862020937398,0.10392543406242123
51.0,-218.39796260124044,-1.2800162522660443,-217.24945143635748,0.13150508738309744
52.0,-288.3644540600913,-1.2558796527747893,-287.26765914802024,0.15908474070377365
53.0,-359.7146278075848,-1.277927845241828,-358.6233643563674,0.1866643940244499
54.0,-427.8159048078413,-1.363622918246695,-426.66652593693976,0.21424404734512612
55.0,-487.9633308450765,-1.5215292564846736,-486.3437319956135,-0.09806959297832586
56.0,-535.0537531053662,-1.7093110521477417,-532.9340588199167,-0.41038323330177784
57.0,-565.3762407052347,-1.852397951062187,-562.8011458805473,-0.7226968736252298
58.0,-576.6910249113309,-1.8479743375175164,-573.8080400598648,-1.0350105139486818
59.0,-568.4585447096041,-1.561019651277372,-565.5502009040547,-1.347324154272134
60.0,-541.8913131154653,-0.834962838231998,-539.3967124826378,-1.6596377945955858
61.0,-499.84702386088543,0.46278293234638407,-498.33785535831277,-1.9719514349190375
62.0,-446.60611780265236,2.3329372813153646,-446.65479000872523,-2.28426507524249
63.0,-293.64133502997646,4.439451491642691,-295.4842078060532,-2.5965787155659417
64.0,-30.580526276106248,5.59695022593064,-39.163697712838044,2.986221210801153
65.0,-17.766556790715796,3.1827212379388023,-29.51829916582285,8.569021137168248
66.0,-17.327741953723958,-4.801201292762492,-26.678361724496806,14.15182106353534
67.0,-30.664761047448668,-16.53643432097021,-18.46079600825618,4.332469281777723
68.0,-39.42219484886231,-26.063044335656738,-7.872268013225673,-5.486882499979896
69.0,-34.12571489343937,-29.988993724239165,0.3875252546146323,-4.524246423814842
70.0,-26.967977039007494,-29.274378188806363,5.868011497448661,-3.561610347649788
71.0,-19.2259316247155,-25.80463785467523,9.177680501444467,-2.598974271484734
72.0,-11.916914557236007,-21.18730008398945,10.90672372207312,-1.6363381953196796
